Course1,Course2,Num_within_two_semesters
ENG-SCI 152,ENG-SCI 156,49
ENG-SCI 152,ENG-SCI 96,40
ENG-SCI 152,ENG-SCI 173,39
ENG-SCI 150,ENG-SCI 152,45
ENG-SCI 51,ENG-SCI 54,103
ENG-SCI 120,ENG-SCI 54,86
ENG-SCI 181,ENG-SCI 54,75
COMPSCI 51,ENG-SCI 54,74
ENG-SCI 125,ENG-SCI 54,73
COMPSCI 61,ENG-SCI 54,41
